Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485412958,2015-04-10,,2015-04-10,Common:,,,,,Java FX 8,
31330485413020,2015-04-10,,2015-04-10,Java FX 8 Tutorial,,,,,Java FX 8,
31330485412997,2015-04-10,,2015-04-10,Написать простую форму заказа,,,,,Java FX 8,
31330485413002,2015-04-10,,2015-04-10,Реализовать компонент ComboCheckBox,,,,,Java FX 8,
31330485413006,2015-04-10,,2015-04-10,Прочитать статьи JavaFX 2.0 Game Tutorial 1-5,,,,,Java FX 8,
31330485413010,2015-04-10,,2015-04-10,Прочитать статьи JavaFX: Data Model for TreeTable,,,,,Java FX 8,
31330485413014,2015-04-10,,2015-04-10,Прочитать статью Fancy Forms with JavaFX CSS,,,,,Java FX 8,
31330485412954,2015-04-10,,2015-04-10,FXML:,,,,,Java FX 8,
