Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485412982,2015-04-10,,2015-04-10,Mercurial:,,,,,VCS,
31343605630509,2015-04-10,,2015-04-10,Прочитать мануал по работе  и установке,,,,,VCS,
31343605630513,2015-04-10,,2015-04-10,Создать проект на меркуриал,,,,,VCS,
31330485412980,2015-04-10,,2015-04-10,GIT:,,,,,VCS,
31351302806382,2015-04-10,,2015-04-10,книга Pro-git (довольно большая),,,,http://git-scm.com/book/ru/v2,VCS,
31330485412978,2015-04-10,,2015-04-10,SVN:,,,,,VCS,
