Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31351302806386,2015-04-10,,2015-04-10,material design:,,,,,Android SDK,
31351302806390,2015-04-10,,2015-04-10,,,,,,Android SDK,
31426782060521,2015-04-11,,2015-04-11,Course (Parallels):,,,,,Android SDK,
31426782060523,2015-04-11,,2015-04-11,"SDK, Gradle, AndroidStudio",,,,,Android SDK,
31426782060525,2015-04-11,,2015-04-11,Основные компоненты приложения. Жизненный цикл приложения,,,,,Android SDK,
