Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31229264206788,2015-04-09,,2015-04-09,Generics:,,,,,Java SE 6 (common),
31330485412992,2015-04-10,,2015-04-10,Прочитать статью (в описании ссылка),,,,,Java SE 6 (common),
31292497450802,2015-04-09,,2015-04-09,Collections:,,,,,Java SE 6 (common),
31343605630438,2015-04-10,,2015-04-10,Прочитать статью Difference between ArrayList and Vector in Java,,,,,Java SE 6 (common),
31229264206796,2015-04-09,,2015-04-09,JVM:,,,,,Java SE 6 (common),
31428194745270,2015-04-11,,2015-04-11,Commons:,,,,,Java SE 6 (common),
31428194745272,2015-04-11,,2015-04-11,Прочитать статью Exception Handling & Assertion,,,,,Java SE 6 (common),
