Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485412976,2015-04-10,,2015-04-10,Web Patterns:,,,,,Architecture,
31343605630517,2015-04-10,,2015-04-12,Прочитать статью ExtJS – учимся правильно писать компоненты,,,,,Architecture,
31426782060513,2015-04-11,,2015-04-11,Прочитать книгу Intoduction to Web Application Development,,,,,Architecture,
31330485412974,2015-04-10,,2015-04-10,Patterns:,,,,,Architecture,
31426782060517,2015-04-11,,2015-04-11,Прочитать книгу Java Design Patterns,,,,,Architecture,
31426782060600,2015-04-11,,2015-04-11,Прочитать книгу Шаблоны проектирования в Java. Гранд,,,,,Architecture,
