Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485413026,2015-04-10,,2015-04-10,Python:,,,,,Other,
31343605630430,2015-04-10,,2015-04-10,Intellij Idea:,,,,,Other,
31343605630432,2015-04-10,,2015-04-10,"Написать плагин для идеи, который собирает статистику по проекту сколько строчек кода в каждом файле (в конце саммари по проекту)",,,,,Other,
31343605630426,2015-04-10,,2015-04-10,Google Chrome:,,,,,Other,
31343605630428,2015-04-10,,2015-04-10,"Написать расширение для хрома, которое считает сколько кликов ты сделал и выдает столбчатую диаграмму по дням",,,,,Other,
