Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31351302806366,2015-04-10,,2015-04-10,мини книга по mongodb:,,,,http://jsman.ru/mongo-book/,No SQL,
31351302806368,2015-04-10,,2015-04-10,Глава 1 — Основы,,,,,No SQL,
31351302806370,2015-04-10,,2015-04-10,Глава 2 — Обновление,,,,,No SQL,
31351302806372,2015-04-10,,2015-04-10,Глава 3 — Осваиваем Find,,,,,No SQL,
31351302806374,2015-04-10,,2015-04-10,Глава 4 — Моделирование данных,,,,,No SQL,
31351302806376,2015-04-10,,2015-04-10,Глава 5 — Когда использовать MongoDB,,,,,No SQL,
31351302806378,2015-04-10,,2015-04-10,Глава 6 — MapReduce,,,,,No SQL,
31351302806380,2015-04-10,,2015-04-10,Глава 7 — Производительность и инструментарий,,,,,No SQL,
